agecat,weightcat,poule,red,red_country,blue,blue_country,red_points,red_warnings,blue_points,blue_warnings
5,6,D,CHAN WAI YIP,"Hong Kong, China",MohammadHossein Fallah,Iran,1,0,3,0
5,6,D,Sergey Drobinsky,Germany,MohammadHossein Fallah,Iran,1,0,3,0
5,6,E,DIRICQ ENZO,Belgium,ATTOUGBRE Yves Alain,Ivory Coast,3,0,1,0
5,6,E,DIRICQ ENZO,Belgium,GHASSIRI Johan,France,1,2,3,1
5,6,E,DIRICQ ENZO,Belgium,BRANTSYRA ARTEM,Ukraine,3,1,1,1
5,6,E,ATTOUGBRE Yves Alain,Ivory Coast,GHASSIRI Johan,France,1,1,3,0
5,6,E,ATTOUGBRE Yves Alain,Ivory Coast,BRANTSYRA ARTEM,Ukraine,3,0,1,0
5,6,E,GHASSIRI Johan,France,BRANTSYRA ARTEM,Ukraine,3,0,1,1
5,7,A,Farkas Botond,Hungary,Chant HOVHANNISYAN,Armenia,3,0,0,0
5,7,A,Farkas Botond,Hungary,Mohamed Sidiki GUISSE,Guinea Conakry,3,1,1,1
5,7,A,Chant HOVHANNISYAN,Armenia,Mohamed Sidiki GUISSE,Guinea Conakry,0,0,3,0
5,7,B,VOINOV VITALII,Ukraine,Mehmet Emin ERTUĞRUL,Turkey,3,0,1,0
5,7,B,VOINOV VITALII,Ukraine,GAREL Florian,Chinese Taipei,1,1,3,0
5,7,B,Mehmet Emin ERTUĞRUL,Turkey,GAREL Florian,Chinese Taipei,3,0,1,0
5,7,C,Kevin Truesdale,New Zealand,Radoje Stevanović,Serbia,1,0,3,0
5,7,C,Kevin Truesdale,New Zealand,Bartol Pavičić,Croatia,1,0,3,0
5,7,C,Radoje Stevanović,Serbia,Bartol Pavičić,Croatia,1,0,3,0
5,7,D,NYAMA André,Cameroon,Simone Cogrossi,Italy,1,1,3,0
5,7,D,NYAMA André,Cameroon,NG KWAI LAP,"Hong Kong, China",3,0,1,0
5,7,D,Simone Cogrossi,Italy,NG KWAI LAP,"Hong Kong, China",3,1,1,1
5,7,E,Johannes Stindt,Germany,Yoshinori HASHIMOTO,Japan,3,0,1,0
5,7,E,Johannes Stindt,Germany,Farzam Fallah,Iran,1,0,3,0
5,7,E,Yoshinori HASHIMOTO,Japan,Farzam Fallah,Iran,1,0,3,0
5,7,F,D'ERRICO JULIEN,Belgium,GARCIA Iden,France,1,0,3,1
5,7,F,D'ERRICO JULIEN,Belgium,CAMARA Mohamadou,Senegal,3,0,1,0
5,7,F,D'ERRICO JULIEN,Belgium,Omidullah Alizadah,Refugee,3,0,1,0
5,7,F,GARCIA Iden,France,CAMARA Mohamadou,Senegal,3,0,1,0
5,7,F,GARCIA Iden,France,Omidullah Alizadah,Refugee,3,0,1,0
5,7,F,CAMARA Mohamadou,Senegal,Omidullah Alizadah,Refugee,3,0,1,0
5,9,A,IDRISSA SAGNA,Senegal,KEREM ALTAY,Turkey,3,0,1,1
5,9,A,IDRISSA SAGNA,Senegal,Aditya Amol Khandizod,India,3,1,1,0
5,9,A,KEREM ALTAY,Turkey,Aditya Amol Khandizod,India,3,1,-1,3
5,9,B,James Antill,Great Britain,Georgi Dimitrov,Bulgaria,3,0,1,1
5,9,B,James Antill,Great Britain,Jovan Stevanović,Serbia,1,0,3,0
5,9,B,Georgi Dimitrov,Bulgaria,Jovan Stevanović,Serbia,3,1,1,1
5,9,C,GHARRAS Amor,Tunisia,LACHENAL Edouard,Switzerland,1,0,3,0
5,9,C,GHARRAS Amor,Tunisia,Grigorii DROGIN,Neutral Athlete,1,1,3,0
5,9,C,LACHENAL Edouard,Switzerland,Grigorii DROGIN,Neutral Athlete,1,0,3,0
5,9,D,Beyrak BAGHIROV,Azerbaijan,Valentino Florjanić,Croatia,1,1,3,1
5,9,D,Beyrak BAGHIROV,Azerbaijan,Lauri Ilves,Finland,3,0,1,0
5,9,D,Valentino Florjanić,Croatia,Lauri Ilves,Finland,3,1,1,0
5,9,E,Silvio Fortunato,Italy,Jonathan Artback,Sweden,3,0,1,0
5,9,E,Silvio Fortunato,Italy,Alexander Kaltenbacher,Germany,3,2,1,0
5,9,E,Jonathan Artback,Sweden,Alexander Kaltenbacher,Germany,3,0,1,0
5,9,F,AmirReza Zarghani,Iran,TOGNOCCHI JULIEN,Belgium,3,0,1,1
5,9,F,AmirReza Zarghani,Iran,BIENVENU Jovan,France,1,1,3,1
5,9,F,AmirReza Zarghani,Iran,KOSTIUK NAZARII,Ukraine,3,0,1,0
5,9,F,TOGNOCCHI JULIEN,Belgium,BIENVENU Jovan,France,1,0,3,0
5,9,F,TOGNOCCHI JULIEN,Belgium,KOSTIUK NAZARII,Ukraine,1,0,3,0
5,9,F,BIENVENU Jovan,France,KOSTIUK NAZARII,Ukraine,3,0,1,0
6,1,A,Mariama CISSE,Senegal,Aicha Ouennas,Algeria,3,0,1,0
6,1,A,Mariama CISSE,Senegal,Lidia Abazovski,Serbia,1,1,3,1
6,1,A,Aicha Ouennas,Algeria,Lidia Abazovski,Serbia,1,0,3,0
6,1,B,Helena Beljak,Croatia,Taeko SESHITA,Japan,3,1,1,0
6,1,B,Helena Beljak,Croatia,Mahdis Delghandi,Iran,3,1,1,0
6,1,B,Taeko SESHITA,Japan,Mahdis Delghandi,Iran,1,0,3,0
6,1,C,Viktoria Vogel,Austria,LAPAUW CLOE,Belgium,3,1,1,0
6,1,C,Viktoria Vogel,Austria,NANDI Chloe,France,1,0,3,0
6,1,C,Viktoria Vogel,Austria,Sarah Pierre,Mauritius,3,0,1,0
6,1,C,LAPAUW CLOE,Belgium,NANDI Chloe,France,1,0,3,0
6,1,C,LAPAUW CLOE,Belgium,Sarah Pierre,Mauritius,3,0,1,0
6,1,C,NANDI Chloe,France,Sarah Pierre,Mauritius,3,0,1,0
6,2,A,Tóth-Csáki Fruzsina,Hungary,Zarha Slimani,Algeria,3,0,0,0
6,2,A,Tóth-Csáki Fruzsina,Hungary,Marianna ZACCARO,Slovenia,1,1,3,0
6,2,A,Zarha Slimani,Algeria,Marianna ZACCARO,Slovenia,0,0,3,0
6,2,B,Louisa Furniss,Great Britain,Stefania Aleksandrova,Bulgaria,1,0,3,0
6,2,B,Louisa Furniss,Great Britain,Nadja Begojev,Serbia,3,0,1,1
6,2,B,Stefania Aleksandrova,Bulgaria,Nadja Begojev,Serbia,3,2,1,2
6,2,C,Kira TOROPOVA,Neutral Athlete,Tajana Koščak,Croatia,3,0,1,0
6,2,C,Kira TOROPOVA,Neutral Athlete,Salla Nordman,Finland,3,1,1,0
6,2,C,Tajana Koščak,Croatia,Salla Nordman,Finland,3,1,1,1
6,2,D,Georlice Kelia Lollos,Italy,Mariko HARA,Japan,3,0,1,0
6,2,D,Georlice Kelia Lollos,Italy,Nargol Rafiee,Iran,3,0,1,0
6,2,D,Mariko HARA,Japan,Nargol Rafiee,Iran,3,0,1,0
6,2,E,LEMAYLLEUX NATHALIE,Belgium,DELAPLESSE Arwen,France,1,0,3,0
6,2,E,LEMAYLLEUX NATHALIE,Belgium,KONOVALCHUK ANASTASIIA,Ukraine,1,0,3,0
6,2,E,DELAPLESSE Arwen,France,KONOVALCHUK ANASTASIIA,Ukraine,3,0,1,0
6,3,A,Bukovinszky Luca,Hungary,ELİF YALIM,Turkey,3,0,1,2
6,3,A,Bukovinszky Luca,Hungary,Esther Yamina Noelle OTMANI,Algeria,3,0,1,0
6,3,A,ELİF YALIM,Turkey,Esther Yamina Noelle OTMANI,Algeria,3,1,1,1
6,3,B,Anja Lukić,Serbia,Katarina Klarić,Croatia,1,0,3,0
6,3,B,Anja Lukić,Serbia,Viivi Hirvonen,Finland,3,0,1,0
6,3,B,Anja Lukić,Serbia,Asia Carducci,Italy,1,0,3,0
6,3,B,Katarina Klarić,Croatia,Viivi Hirvonen,Finland,3,1,1,0
6,3,B,Katarina Klarić,Croatia,Asia Carducci,Italy,1,0,3,0
6,3,B,Viivi Hirvonen,Finland,Asia Carducci,Italy,3,0,1,0
6,3,C,Rumi UMEDA,Japan,KERRINCKX ELISABETH,Belgium,1,0,3,0
6,3,C,Rumi UMEDA,Japan,LOBJEOIS Gwendoline,France,1,0,3,0
6,3,C,Rumi UMEDA,Japan,SAPONOVA ALISA,Ukraine,1,0,3,1
6,3,C,KERRINCKX ELISABETH,Belgium,LOBJEOIS Gwendoline,France,1,0,3,0
6,3,C,KERRINCKX ELISABETH,Belgium,SAPONOVA ALISA,Ukraine,1,0,3,0
6,3,C,LOBJEOIS Gwendoline,France,SAPONOVA ALISA,Ukraine,3,0,1,0
6,4,A,ROUSSY Noa,France,Mirta Obelić,Croatia,3,0,1,0
6,4,A,ROUSSY Noa,France,Anastasiia TSVETKOVA,Neutral Athlete,3,0,1,0
6,4,A,Mirta Obelić,Croatia,Anastasiia TSVETKOVA,Neutral Athlete,1,1,3,1
6,4,B,Arijana Otašević,Serbia,Maria BEN MOUSSA,Algeria,1,0,3,0
6,4,B,Arijana Otašević,Serbia,EYLÜL KORKMAZ,Turkey,3,0,1,0
6,4,B,Arijana Otašević,Serbia,HEUNG TSZ YING,"Hong Kong, China",3,0,1,2
6,4,B,Maria BEN MOUSSA,Algeria,EYLÜL KORKMAZ,Turkey,3,0,1,0
6,4,B,Maria BEN MOUSSA,Algeria,HEUNG TSZ YING,"Hong Kong, China",3,0,1,1
6,4,B,EYLÜL KORKMAZ,Turkey,HEUNG TSZ YING,"Hong Kong, China",3,0,1,0
6,5,A,SERENA Fanny,France,KURNOSENKO SOFIIA,Ukraine,3,0,1,1
6,5,A,SERENA Fanny,France,ZÜMRA KERİM,Turkey,3,0,1,2
6,5,A,KURNOSENKO SOFIIA,Ukraine,ZÜMRA KERİM,Turkey,3,0,1,2
6,5,B,Anna Bosc,Algeria,Giulia RUDEZ,Slovenia,3,1,1,0
6,5,B,Anna Bosc,Algeria,Gabriela Tsenkova,Bulgaria,1,1,3,1
6,5,B,Giulia RUDEZ,Slovenia,Gabriela Tsenkova,Bulgaria,1,0,3,0
6,5,C,Riikka Holopainen,Finland,Giulia Triolo,Italy,1,1,3,0
6,5,C,Riikka Holopainen,Finland,Jessica Diethold,Germany,3,0,1,0
6,5,C,Giulia Triolo,Italy,Jessica Diethold,Germany,3,1,1,0
6,5,D,Mahdiyeh Alizadeh,Iran,LEMAIRE EMMA,Belgium,1,1,3,0
6,5,D,Mahdiyeh Alizadeh,Iran,Elena ANTIPOVA,Neutral Athlete,1,1,3,1
6,5,D,LEMAIRE EMMA,Belgium,Elena ANTIPOVA,Neutral Athlete,3,0,1,0
6,6,A,BUGADA Marine,France,MINET GWENAËLLE,Belgium,3,0,1,0
6,6,A,BUGADA Marine,France,HALILOU Haoua,Cameroon,3,0,1,0
6,6,A,BUGADA Marine,France,KAABI Elissa,Tunisia,3,0,1,0
6,6,A,MINET GWENAËLLE,Belgium,HALILOU Haoua,Cameroon,3,0,1,0
6,6,A,MINET GWENAËLLE,Belgium,KAABI Elissa,Tunisia,3,0,1,0
6,6,A,HALILOU Haoua,Cameroon,KAABI Elissa,Tunisia,1,0,3,0
6,6,B,Sofia MATNANE,Slovenia,Soraya Bouzidi,Canada,0,0,3,0
6,6,B,Sofia MATNANE,Slovenia,Jessica NOMBREUSE,Mauritius,0,0,3,0
6,6,B,Sofia MATNANE,Slovenia,Selvi Aleyna GILO,Turkey,0,0,3,0
6,6,B,Soraya Bouzidi,Canada,Jessica NOMBREUSE,Mauritius,1,0,3,0
6,6,B,Soraya Bouzidi,Canada,Selvi Aleyna GILO,Turkey,3,0,1,2
6,6,B,Jessica NOMBREUSE,Mauritius,Selvi Aleyna GILO,Turkey,3,1,1,2
6,7,A,DJONDO Sara,France,Anastasiia GAVRICHENKO,Neutral Athlete,3,0,1,1
6,7,A,DJONDO Sara,France,Jelena Sedoglavić,Serbia,1,0,3,0
6,7,A,Anastasiia GAVRICHENKO,Neutral Athlete,Jelena Sedoglavić,Serbia,1,0,3,1
6,7,B,Emily COLAUTTI,Slovenia,Chanistha JOSHI,Mauritius,1,1,3,2
6,7,B,Emily COLAUTTI,Slovenia,AYBÜKE SUÇIKAR,Turkey,1,1,3,0
6,7,B,Chanistha JOSHI,Mauritius,AYBÜKE SUÇIKAR,Turkey,1,2,3,1
6,8,A,POCHET Lohane,France,TOUSSAINT MARGUERITE,Belgium,3,0,1,0
6,8,A,POCHET Lohane,France,Giada VITRANI,Slovenia,3,0,0,0
6,8,A,POCHET Lohane,France,ASYA DİLA AKSOY,Turkey,3,1,1,2
6,8,A,TOUSSAINT MARGUERITE,Belgium,Giada VITRANI,Slovenia,3,0,1,1
6,8,A,TOUSSAINT MARGUERITE,Belgium,ASYA DİLA AKSOY,Turkey,3,0,1,0
6,8,A,Giada VITRANI,Slovenia,ASYA DİLA AKSOY,Turkey,1,1,3,0
