date,time,ring,category,phase,red,blue,result,pending,winner_corner,red_points,blue_points,decision,agecat,weightcat,poule,seen_under
2026-09-10,14:33,2,Senior Men Assaut +85 kg,poule,Keivan Zarghani,Balla TRAORÉ,1-3,False,blue,1,3,points,5,11,D,Iran
2026-09-10,14:33,3,Senior Men Assaut -56 kg,poule,Abolfazl Dowlat Abadi,PECQUET BAPTISTE,3-1,False,red,3,1,points,5,3,C,Belgium
2026-09-10,14:46,1,Senior Men Assaut -80 kg,poule,GHARRAS Amor,Grigorii DROGIN,1-3,False,blue,1,3,points,5,9,C,Neutral Athlete
2026-09-10,14:46,2,Senior Men Assaut -60kg,poule,Sajti Benjamin,Andrei KOTOCHIGOV,1-3,False,blue,1,3,points,5,4,A,Hungary
2026-09-10,14:46,3,Senior Men Assaut -56 kg,poule,CAVROT-WESTERLINCK Ethan,Johan Felipe Caballos Peña,3-1,False,red,3,1,points,5,3,C,Colombia
2026-09-10,14:59,1,Senior Men Assaut -80 kg,poule,AmirReza Zarghani,TOGNOCCHI JULIEN,3-1,False,red,3,1,points,5,9,F,Belgium
2026-09-10,14:59,2,Senior Men Assaut -60kg,poule,Sim Cong Yu,Kais Garayalde,1-3,False,blue,1,3,points,5,4,B,Algeria
2026-09-10,14:59,3,Senior Women Assaut -48 kg,poule,Mariama CISSE,Aicha Ouennas,3-1,False,red,3,1,points,6,1,A,Algeria
2026-09-10,15:12,1,Senior Men Assaut -80 kg,poule,BIENVENU Jovan,KOSTIUK NAZARII,3-1,False,red,3,1,points,5,9,F,France
2026-09-10,15:12,2,Senior Men Assaut -60kg,poule,Alen Nokaj,TONG SIU WANG VINCENT,3-1,False,red,3,1,points,5,4,C,Croatia
2026-09-10,15:12,3,Senior Women Assaut -48 kg,poule,Helena Beljak,Taeko SESHITA,3-1,False,red,3,1,points,6,1,B,Croatia
2026-09-10,15:25,1,Senior Men Assaut -70 kg,poule,LOPEZ Ousmane,HÜSEYİN KARAAĞAÇ,1-3,False,blue,1,3,points,5,6,A,Senegal
2026-09-10,15:25,2,Senior Men Assaut -70 kg,poule,DIRICQ ENZO,BRANTSYRA ARTEM,3-1,False,red,3,1,points,5,6,E,Belgium
2026-09-10,15:25,3,Senior Women Assaut -56 kg,poule,Anja Lukić,Asia Carducci,1-3,False,blue,1,3,points,6,3,B,Italy
2026-09-10,15:38,1,Senior Men Assaut -70 kg,poule,Kamel Mayouf,Yordan Yordanov,3-1,False,red,3,1,points,5,6,B,Algeria
2026-09-10,15:38,2,Senior Men Assaut -70 kg,poule,ATTOUGBRE Yves Alain,GHASSIRI Johan,1-3,False,blue,1,3,points,5,6,E,France
2026-09-10,15:38,3,Senior Women Assaut -56 kg,poule,Katarina Klarić,Viivi Hirvonen,3-1,False,red,3,1,points,6,3,B,Croatia
2026-09-10,15:51,1,Senior Men Assaut -80 kg,poule,Georgi Dimitrov,Jovan Stevanović,3-1,False,red,3,1,points,5,9,B,Bulgaria
2026-09-10,15:51,2,Senior Men Assaut +85 kg,poule,Mutéba Orphée Francis FWAMBA,Olivier Lafleur,3-1,False,red,3,1,points,5,11,A,Democratic Republic of Congo
