tournament,bout_id,date,time,ring,category,gender,age_class,weight_kg,weight_bound,phase,poule,red,red_country,red_club,red_weighed,blue,blue_country,blue_club,blue_weighed,red_points,blue_points,red_warnings,blue_warnings,winner_corner,winner,loser,decision,decision_detail,status,result_source
world-assaut-2026,world-assaut-2026-0074,2026-09-10,15:12,2,Senior Men Assaut -60kg,Men,Senior,60,under,poule,C,Alen Nokaj,Croatia,,,TONG SIU WANG VINCENT,Hong Kong,,,3,1,0,0,red,Alen Nokaj,TONG SIU WANG VINCENT,points,,decided,reported
world-assaut-2026,world-assaut-2026-0075,2026-09-10,15:12,3,Senior Women Assaut -48 kg,Women,Senior,48,under,poule,B,Helena Beljak,Croatia,,,Taeko SESHITA,Japan,,,3,1,1,0,red,Helena Beljak,Taeko SESHITA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0076,2026-09-10,15:25,1,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,A,LOPEZ Ousmane,Senegal,,,HÜSEYİN KARAAĞAÇ,Turkey,,,1,3,2,1,blue,HÜSEYİN KARAAĞAÇ,LOPEZ Ousmane,points,,decided,reported
world-assaut-2026,world-assaut-2026-0077,2026-09-10,15:25,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,DIRICQ ENZO,Belgium,,,BRANTSYRA ARTEM,Ukraine,,,3,1,1,1,red,DIRICQ ENZO,BRANTSYRA ARTEM,points,,decided,reported
world-assaut-2026,world-assaut-2026-0078,2026-09-10,15:25,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Anja Lukić,Serbia,,,Asia Carducci,Italy,,,1,3,0,0,blue,Asia Carducci,Anja Lukić,points,,decided,reported
world-assaut-2026,world-assaut-2026-0079,2026-09-10,15:38,1,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,B,Kamel Mayouf,Algeria,,,Yordan Yordanov,Bulgaria,,,3,1,1,2,red,Kamel Mayouf,Yordan Yordanov,points,,decided,reported
world-assaut-2026,world-assaut-2026-0080,2026-09-10,15:38,2,Senior Men Assaut -70 kg,Men,Senior,70,under,poule,E,ATTOUGBRE Yves Alain,Ivory Coast,,,GHASSIRI Johan,France,,,1,3,1,0,blue,GHASSIRI Johan,ATTOUGBRE Yves Alain,points,,decided,reported
world-assaut-2026,world-assaut-2026-0081,2026-09-10,15:38,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,B,Katarina Klarić,Croatia,,,Viivi Hirvonen,Finland,,,3,1,1,0,red,Katarina Klarić,Viivi Hirvonen,points,,decided,reported
world-assaut-2026,world-assaut-2026-0082,2026-09-10,15:51,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,B,Georgi Dimitrov,Bulgaria,,,Jovan Stevanović,Serbia,,,3,1,1,1,red,Georgi Dimitrov,Jovan Stevanović,points,,decided,reported
world-assaut-2026,world-assaut-2026-0083,2026-09-10,15:51,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,A,Mutéba Orphée Francis FWAMBA,DR Congo,,,Olivier Lafleur,Mauritius,,,3,1,0,0,red,Mutéba Orphée Francis FWAMBA,Olivier Lafleur,points,,decided,reported
world-assaut-2026,world-assaut-2026-0084,2026-09-10,15:51,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,A,SALDIRAY KALKAN,Turkey,,,Stephane Jonkeer,Mauritius,,,,3,3,0,blue,Stephane Jonkeer,SALDIRAY KALKAN,disqualification,,decided,reported
world-assaut-2026,world-assaut-2026-0085,2026-09-10,16:04,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,D,Beyrak BAGHIROV,Azerbaijan,,,Lauri Ilves,Finland,,,3,1,0,0,red,Beyrak BAGHIROV,Lauri Ilves,points,,decided,reported
world-assaut-2026,world-assaut-2026-0086,2026-09-10,16:04,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,B,Anthony Colli,Canada,,,Zan ŠUBELJ,Slovenia,,,1,3,0,0,blue,Zan ŠUBELJ,Anthony Colli,points,,decided,reported
world-assaut-2026,world-assaut-2026-0087,2026-09-10,16:04,3,Senior Men Assaut -56 kg,Men,Senior,56,under,poule,B,ALAKBAR KHANMAMMADOV,Azerbaijan,,,Liu KUBOTA,Japan,,,3,1,0,0,red,ALAKBAR KHANMAMMADOV,Liu KUBOTA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0088,2026-09-10,16:17,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,C,LACHENAL Edouard,Switzerland,,,Grigorii DROGIN,Neutral Athlete,,,1,3,0,0,blue,Grigorii DROGIN,LACHENAL Edouard,points,,decided,reported
world-assaut-2026,world-assaut-2026-0089,2026-09-10,16:17,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,D,Pharelle Wilson AKOUAN,Cameroon,,,Keivan Zarghani,Iran,,,3,,0,0,red,Pharelle Wilson AKOUAN,Keivan Zarghani,forfait,,decided,reported
world-assaut-2026,world-assaut-2026-0090,2026-09-10,16:17,3,Senior Women Assaut -56 kg,Women,Senior,56,under,poule,C,Rumi UMEDA,Japan,,,SAPONOVA ALISA,Ukraine,,,1,3,0,1,blue,SAPONOVA ALISA,Rumi UMEDA,points,,decided,reported
world-assaut-2026,world-assaut-2026-0091,2026-09-10,16:30,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,E,Silvio Fortunato,Italy,,,Alexander Kaltenbacher,Germany,,,3,1,2,0,red,Silvio Fortunato,Alexander Kaltenbacher,points,,decided,reported
world-assaut-2026,world-assaut-2026-0092,2026-09-10,16:30,2,Senior Men Assaut +85 kg,Men,Senior,85,over,poule,C,Nikola Vukčević,Serbia,,,Luka Sakač,Croatia,,,3,1,0,1,red,Nikola Vukčević,Luka Sakač,points,,decided,reported
world-assaut-2026,world-assaut-2026-0093,2026-09-10,16:30,3,Senior Women Assaut -48 kg,Women,Senior,48,under,poule,A,Mariama CISSE,Senegal,,,Lidia Abazovski,Serbia,,,1,3,1,1,blue,Lidia Abazovski,Mariama CISSE,points,,decided,reported
world-assaut-2026,world-assaut-2026-0094,2026-09-10,16:43,1,Senior Men Assaut -80 kg,Men,Senior,80,under,poule,F,AmirReza Zarghani,Iran,,,BIENVENU Jovan,France,,,1,3,1,1,blue,BIENVENU Jovan,AmirReza Zarghani,points,,decided,reported
